,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-L/100km,price,city-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
100,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
101,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
102,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,High,0,1,0,1
103,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
104,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
105,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
106,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
107,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
108,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
109,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
110,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
111,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
112,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
113,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
114,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
115,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
116,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
117,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
118,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
119,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
120,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
121,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
122,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
123,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,High,0,1,1,0
124,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,High,0,1,1,0
125,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,High,0,1,1,0
126,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
127,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
128,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
129,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
130,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
131,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
132,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
133,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
134,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
135,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
136,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
137,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
138,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
139,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
140,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
141,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
142,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
143,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
144,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
145,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
146,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
147,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
148,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
149,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
150,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
151,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
152,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
153,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
154,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
155,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
156,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
157,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
158,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
159,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
160,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
161,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
162,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
163,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
164,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
165,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
166,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
167,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
168,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
169,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
170,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
171,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
172,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
173,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
174,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
175,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
176,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
177,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
178,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
179,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
180,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
181,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
182,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
183,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
184,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
185,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
186,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
187,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
188,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
189,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
190,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
191,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
192,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
193,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
194,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
195,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
196,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
197,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
198,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
199,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,1,0,0,1
200,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
